"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"data manager";http://www.onisep.fr/http/redirection/metier/slug/MET.613;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"informatique, internet/informatique (généralités)| sciences/mathématiques"
"data scientist";http://www.onisep.fr/http/redirection/metier/slug/MET.512;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1403;"Études et prospectives socio-économiques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1403;"informatique, internet/informatique (généralités)| sciences/mathématiques"
"décorateur / décoratrice-scénographe";http://www.onisep.fr/http/redirection/metier/slug/MET.261;"Les métiers du design";Parcours;2019;9782273014595;"GFE V : arts, spectacle, audiovisuel";L1503;"Décor et accessoires spectacle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1503;"arts, culture, artisanat/arts appliqués| arts, culture, artisanat/arts du spectacle| information-communication, audiovisuel/audiovisuel"
"dépanneur / dépanneuse en électroménager";http://www.onisep.fr/http/redirection/metier/slug/MET.881;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";I1402;"Réparation de biens électrodomestiques et multimédia";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1402;"électricité - électronique - robotique/électrotechnique| matières premières, fabrication, industries/maintenance - qualité"
"designer graphique";http://www.onisep.fr/http/redirection/metier/slug/MET.5;"Les métiers du livre";Parcours;2021;9782273015851;"GFE N : techniques graphiques, impression";E1205;"Réalisation de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/industries graphiques"
"designer industriel / designeuse industrielle";http://www.onisep.fr/http/redirection/metier/slug/MET.568;"Les métiers du design";Parcours;2019;9782273014595;"GFE N : techniques graphiques, impression";H1204;"Design industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1204;"arts, culture, artisanat/arts graphiques"
"dessinateur / dessinatrice de BD";http://www.onisep.fr/http/redirection/metier/slug/MET.693;"Les métiers du livre";Parcours;2021;9782273015851;"GFE N : techniques graphiques, impression";E1205;"Réalisation de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques| arts, culture, artisanat/arts plastiques"
"dessinateur-projeteur / dessinatrice-projeteuse";http://www.onisep.fr/http/redirection/metier/slug/MET.455;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE C : bâtiment";F1104;"Dessin BTP et paysage";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1104;"construction - architecture - travaux publics/bureau d'études BTP| informatique, internet/informatique industrielle et technologique"
"développeur / développeuse économique";http://www.onisep.fr/http/redirection/metier/slug/MET.923;"Les métiers du social";Parcours;2019;9782273014571;"GFE Q : commerce, gestion, finances";K1802;"Développement local";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1802;"environnement - énergies - propreté/aménagement du territoire"
"développeur rural / développeuse rurale humanitaire";http://www.onisep.fr/http/redirection/metier/slug/MET.100;;"pas de publication Onisep spécifique";;;"GFE A : agriculture";K1802;"Développement local";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1802;"agriculture, animaux/agriculture (généralités)| agriculture, animaux/développement agricole| économie - droit - politique/sciences économiques"
"diagnostiqueur / diagnostiqueuse immobilier";http://www.onisep.fr/http/redirection/metier/slug/MET.910;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE C : bâtiment";F1103;"Contrôle et diagnostic technique du bâtiment";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1103;"construction - architecture - travaux publics/génie civil, construction (généralités)"
"directeur / directrice des services pénitentiaires";http://www.onisep.fr/http/redirection/metier/slug/MET.807;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1403;"Management de structure de santé, sociale ou pénitentiaire";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1403;"économie - droit - politique/activité judiciaire"
"directeur / directrice artistique";http://www.onisep.fr/http/redirection/metier/slug/MET.537;"Les métiers de la mode et du luxe";Parcours;2019;9782273014564;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/journalisme - édition - publicité"
"directeur / directrice d'office de tourisme";http://www.onisep.fr/http/redirection/metier/slug/MET.434;"Les métiers du tourisme";Parcours;2019;9782273014526;"GFE S : hôtellerie,  tourisme, loisirs";G1102;"Promotion du tourisme local";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1102;"hôtellerie - restauration - tourisme/tourisme"
"directeur / directrice de magasin à grande surface";http://www.onisep.fr/http/redirection/metier/slug/MET.542;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1504;"Direction de magasin de grande distribution";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1504;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/grande distribution et petits commerces"
"domoticien / domoticienne";http://www.onisep.fr/http/redirection/metier/slug/MET.795;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE H : électricité, énergie, électronique";F1106;"Ingénierie et études du BTP";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"électricité - électronique - robotique/électronique| électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| construction - architecture - travaux publics/équipement technique"
"économe de flux";http://www.onisep.fr/http/redirection/metier/slug/MET.60;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";;;;"environnement - énergies - propreté/énergies"
"écrivain / écrivaine";http://www.onisep.fr/http/redirection/metier/slug/MET.463;"Les métiers du livre";Parcours;2021;9782273015851;"GFE U : communication, médias";E1102;"Ecriture d'ouvrages, de livres";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1102;"lettres, langues - enseignement/lettres - linguistique"
"éducateur / éducatrice de jeunes enfants";http://www.onisep.fr/http/redirection/metier/slug/MET.668;"Les métiers des associations de l'aide et du soin à domicile";"Zoom sur les métiers";2017;9782273013628;"GFE R : santé, social, soins personnels";K1202;"Éducation de jeunes enfants";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1202;"santé - social - sport/travail social"
"éducateur spécialisé / éducatrice spécialisée";http://www.onisep.fr/http/redirection/metier/slug/MET.311;"Les métiers du social";Parcours;2019;9782273014571;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1207;"santé - social - sport/travail social"
"éducateur spécialisé / éducatrice spécialisée";http://www.onisep.fr/http/redirection/metier/slug/MET.311;"Les métiers auprès des enfants";Parcours;2020;9782273015189;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1207;"santé - social - sport/travail social"
"éducateur technique spécialisé / éducatrice technique spécialisée";http://www.onisep.fr/http/redirection/metier/slug/MET.711;"Les métiers du social";Parcours;2019;9782273014571;"GFE R : santé, social, soins personnels";K1203;"Encadrement technique en insertion professionnelle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1203;"santé - social - sport/travail social"
"électricien installateur / électricienne installatrice";http://www.onisep.fr/http/redirection/metier/slug/MET.56;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE H : électricité, énergie, électronique";F1602;"Électricité bâtiment";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1602;"électricité - électronique - robotique/électrotechnique| construction - architecture - travaux publics/équipement technique"
"employé / employée d'élevage";http://www.onisep.fr/http/redirection/metier/slug/MET.250;"Les métiers de l'élevage et de l'alimentation";"Zoom sur les métiers";2021;9782273015523;"GFE A : agriculture";A1407;"Élevage bovin ou équin";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1407;"agriculture, animaux/élevage - aquaculture"
"employé / employée de chai";http://www.onisep.fr/http/redirection/metier/slug/MET.21;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE K : production alimentaire";A1413;"Fermentation de boissons alcoolisées";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1413;"matières premières, fabrication, industries/agroalimentaire"
"énergéticien / énergéticienne";http://www.onisep.fr/http/redirection/metier/slug/MET.752;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"mécanique/automatismes| électricité - électronique - robotique/électrotechnique| environnement - énergies - propreté/énergies| matières premières, fabrication, industries/papier carton| sciences/physique"
"enseignant / enseignante d'art";http://www.onisep.fr/http/redirection/metier/slug/MET.277;"Les études d'art";Dossiers;2020;9782273015332;"GFE W : droit, enseignement, recherche et sciences humaines";K2105;"Enseignement artistique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2105;"arts, culture, artisanat/arts plastiques| lettres, langues - enseignement/enseignement"
"enseignant-chercheur / enseignante-chercheuse";http://www.onisep.fr/http/redirection/metier/slug/MET.880;"Mathématiques, statistique et informatique";"Zoom sur les métiers";2021;9782273015547;"GFE W : droit, enseignement, recherche et sciences humaines";K2108;"Enseignement supérieur";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2108;"lettres, langues - enseignement/enseignement"
ergothérapeute;http://www.onisep.fr/http/redirection/metier/slug/MET.280;"Les métiers du paramédical";Parcours;2017;9782273013314;"GFE R : santé, social, soins personnels";J1403;Ergothérapie;https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1403;"santé - social - sport/paramédical"
ethnologue;http://www.onisep.fr/http/redirection/metier/slug/MET.414;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K2401;"Recherche en sciences de l'homme et de la société";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2401;"histoire-géographie, psychologie, sociologie/sciences sociales"
"expert / experte automobile";http://www.onisep.fr/http/redirection/metier/slug/MET.886;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";I1604;"Mécanique automobile et entretien de véhicules";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1604;"mécanique/automobile| matières premières, fabrication, industries/génie industriel"
"expert / experte en sécurité informatique";http://www.onisep.fr/http/redirection/metier/slug/MET.459;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"informatique, internet/systèmes et réseaux"
"façonnier / façonnière des industries graphiques";http://www.onisep.fr/http/redirection/metier/slug/MET.318;"Les métiers du livre";Parcours;2021;9782273015851;"GFE N : techniques graphiques, impression";E1302;"Conduite de machines de façonnage routage";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1302;"mécanique/automatismes| information-communication, audiovisuel/industries graphiques"
"facteur / factrice d'instruments";http://www.onisep.fr/http/redirection/metier/slug/MET.859;;"pas de publication Onisep spécifique";;;"GFE M : travail du bois";B1501;"Fabrication et réparation d'instruments de musique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=B1501;"arts, culture, artisanat/artisanat d'art| arts, culture, artisanat/arts du spectacle| matières premières, fabrication, industries/bois| arts, culture, artisanat/restauration d'art"
fleuriste;http://www.onisep.fr/http/redirection/metier/slug/MET.18;"Les métiers de la jardinerie";"Zoom sur les métiers";2017;9782273013604;"GFE Q : commerce, gestion, finances";D1209;"Vente de végétaux";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1209;"commerce, marketing, vente/grande distribution et petits commerces"
"formateur / formatrice technique en agroéquipement";http://www.onisep.fr/http/redirection/metier/slug/MET.118;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE A : agriculture";;;;"mécanique/machinisme agricole| matières premières, fabrication, industries/maintenance - qualité| mécanique/mécanique (généralités)"
"garçon / serveuse de café";http://www.onisep.fr/http/redirection/metier/slug/MET.535;"Les métiers de l'hôtellerie et de la restauration";Parcours;2018;9782273013895;"GFE S : hôtellerie,  tourisme, loisirs";G1801;"Café, bar brasserie";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1801;"hôtellerie - restauration - tourisme/restauration"
"gardien / gardienne de la paix";http://www.onisep.fr/http/redirection/metier/slug/MET.336;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1706;"Sécurité publique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1706;"armée, sécurité/sécurité prévention"
géochimiste;http://www.onisep.fr/http/redirection/metier/slug/MET.475;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;"sciences/chimie| sciences/sciences de la Terre"
"géologue modélisateur / modélisatrice";http://www.onisep.fr/http/redirection/metier/slug/MET.105;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;"sciences/sciences de la Terre"
géomètre-topographe;http://www.onisep.fr/http/redirection/metier/slug/MET.408;"Les métiers de l'immobilier";Parcours;2021;9782273015837;"GFE C : bâtiment";F1108;"Métré de la construction";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1108;"construction - architecture - travaux publics/bureau d'études BTP| sciences/sciences de la Terre| construction - architecture - travaux publics/travaux publics"
"gérant / gérante de portefeuille";http://www.onisep.fr/http/redirection/metier/slug/MET.660;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";C1303;"Gestion de portefeuilles sur les marchés financiers";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1303;"banque - assurances - immobilier/banque"
"gestionnaire de contrats d'assurance";http://www.onisep.fr/http/redirection/metier/slug/MET.867;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";C1109;"Rédaction et gestion en assurances";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1109;"banque - assurances - immobilier/assurances"
"gestionnaire de contrats informatiques";http://www.onisep.fr/http/redirection/metier/slug/MET.619;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";;;;"gestion des entreprises, comptabilité/administration de l'entreprise| informatique, internet/informatique (généralités)"
"gestionnaire de patrimoine";http://www.onisep.fr/http/redirection/metier/slug/MET.213;;"pas de publication Onisep spécifique";;;"GFE Q : commerce, gestion, finances";C1205;"Conseil en gestion de patrimoine financier";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1205;"banque - assurances - immobilier/assurances| banque - assurances - immobilier/banque| économie - droit - politique/droit privé| économie - droit - politique/droit public| économie - droit - politique/sciences économiques"
"grutier / grutière";http://www.onisep.fr/http/redirection/metier/slug/MET.698;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE C : bâtiment";F1301;"Conduite de grue";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1301;"mécanique/engins| construction - architecture - travaux publics/génie civil, construction (généralités)| construction - architecture - travaux publics/travaux publics"
"guide-conférencier / guide-conférencière";http://www.onisep.fr/http/redirection/metier/slug/MET.941;"Les métiers des langues et de l'international";Parcours;2017;9782273013277;"GFE S : hôtellerie,  tourisme, loisirs";G1201;"Accompagnement de voyages, d'activités culturelles ou sportives";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"arts, culture, artisanat/activités culturelles| histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art| hôtellerie - restauration - tourisme/tourisme"
"horticulteur / horticultrice";http://www.onisep.fr/http/redirection/metier/slug/MET.157;"Les métiers de l'agriculture";"Zoom sur les métiers";2021;9782273015608;"GFE A : agriculture";A1414;"Horticulture et maraîchage";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1414;"agriculture, animaux/cultures| commerce, marketing, vente/grande distribution et petits commerces"
"huissier / huissière de justice";http://www.onisep.fr/http/redirection/metier/slug/MET.872;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1901;"Aide et médiation judiciaire";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901;"économie - droit - politique/activité judiciaire"
hydrologue;http://www.onisep.fr/http/redirection/metier/slug/MET.912;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";F1105;"Études géologiques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;"environnement - énergies - propreté/environnement (généralités)| sciences/sciences de la Terre"
"infirmier / infirmière";http://www.onisep.fr/http/redirection/metier/slug/MET.38;"Les métiers du paramédical";Parcours;2017;9782273013314;"GFE R : santé, social, soins personnels";J1506;"Soins infirmiers généralistes";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1506;"santé - social - sport/paramédical"
"informaticien industriel / informaticienne industrielle";http://www.onisep.fr/http/redirection/metier/slug/MET.57;"Les métiers de l'informatique";Parcours;2017;9782273013291;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";H1208;"Intervention technique en études et conception en automatisme";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1208;"mécanique/automatismes| électricité - électronique - robotique/électronique| informatique, internet/informatique industrielle et technologique"
"ingénieur / ingénieure chimiste";http://www.onisep.fr/http/redirection/metier/slug/MET.170;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"sciences/chimie| matières premières, fabrication, industries/matériaux"
"ingénieur / ingénieure chimiste";http://www.onisep.fr/http/redirection/metier/slug/MET.170;"Les métiers de l'industrie de la chimie";Zoom;2021;9782273015622;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"sciences/chimie| matières premières, fabrication, industries/matériaux"
"ingénieur / ingénieure combustion et brûleurs";http://www.onisep.fr/http/redirection/metier/slug/MET.488;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";;;;"environnement - énergies - propreté/énergies| sciences/physique"
"ingénieur / ingénieure de la police technique et scientifique";http://www.onisep.fr/http/redirection/metier/slug/MET.598;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"sciences/biologie| sciences/chimie| informatique, internet/informatique (généralités)| armée, sécurité/sécurité prévention"
"ingénieur / ingénieure du BTP";http://www.onisep.fr/http/redirection/metier/slug/MET.182;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"construction - architecture - travaux publics/génie civil, construction (généralités)| construction - architecture - travaux publics/travaux publics"
"ingénieur / ingénieure efficacité énergétique du bâtiment";http://www.onisep.fr/http/redirection/metier/slug/MET.500;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"environnement - énergies - propreté/énergies| construction - architecture - travaux publics/génie civil, construction (généralités)"
"ingénieur / ingénieure en construction navale";http://www.onisep.fr/http/redirection/metier/slug/MET.761;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";;;;"mécanique/construction navale"
"ingénieur / ingénieure en énergie solaire";http://www.onisep.fr/http/redirection/metier/slug/MET.894;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";;;;"environnement - énergies - propreté/énergies"
"ingénieur / ingénieure en imagerie médicale";http://www.onisep.fr/http/redirection/metier/slug/MET.602;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE R : santé, social, soins personnels";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"santé - social - sport/paramédical"
"ingénieur / ingénieure en photonique";http://www.onisep.fr/http/redirection/metier/slug/MET.809;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE H : électricité, énergie, électronique";;;;"électricité - électronique - robotique/électronique"
"ingénieur / ingénieure essais";http://www.onisep.fr/http/redirection/metier/slug/MET.370;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"mécanique/aéronautique| matières premières, fabrication, industries/études et développement| mécanique/mécanique (généralités)"
"ingénieur / ingénieure fluides, énergies, réseaux, environnement";http://www.onisep.fr/http/redirection/metier/slug/MET.725;"Les métiers du bâtiment et des travaux publics";Parcours;2019;9782273014540;"GFE T : environnement, nettoyage, sécurité";;;;"environnement - énergies - propreté/énergies| environnement - énergies - propreté/environnement (généralités)| sciences/physique"
"ingénieur / ingénieure hydroécologue";http://www.onisep.fr/http/redirection/metier/slug/MET.349;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";A1303;"Ingénierie en agriculture et environnement naturel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"environnement - énergies - propreté/environnement (généralités)| environnement - énergies - propreté/gestion de l'eau| sciences/sciences de la Terre"
"ingénieur / ingénieure hydrogéomorphologue";http://www.onisep.fr/http/redirection/metier/slug/MET.106;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1808;"sciences/sciences de la Terre"
"ingénieur / ingénieure logiciel";http://www.onisep.fr/http/redirection/metier/slug/MET.707;"Les métiers de la Grande Ecole du Numérique";"Zoom sur les métiers";2019;9782273014854;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805;"informatique, internet/développement - programmation -  logiciel"
"ingénieur / ingénieure maintenance aéronautique";http://www.onisep.fr/http/redirection/metier/slug/MET.920;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2017;9782273013284;"GFE F : mécanique";I1102;"Management et ingénierie de maintenance industrielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1102;"mécanique/aéronautique| mécanique/mécanique (généralités)"
"ingénieur / ingénieure plasturgiste";http://www.onisep.fr/http/redirection/metier/slug/MET.770;;"pas de publication Onisep spécifique";;;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"matières premières, fabrication, industries/céramique, composites| sciences/chimie| matières premières, fabrication, industries/plasturgie"
"ingénieur / ingénieure production dans les biotechnologies";http://www.onisep.fr/http/redirection/metier/slug/MET.843;"Les métiers du médical";Parcours;2021;9782273015813;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;sciences/biologie
"ingénieur / ingénieure R&amp;D en énergies renouvelables";http://www.onisep.fr/http/redirection/metier/slug/MET.303;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"environnement - énergies - propreté/énergies"
"ingénieur / ingénieure réservoir";http://www.onisep.fr/http/redirection/metier/slug/MET.821;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";F1105;"Études géologiques";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;"environnement - énergies - propreté/énergies"
"ingénieur / ingénieure systèmes embarqués";http://www.onisep.fr/http/redirection/metier/slug/MET.244;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE H : électricité, énergie, électronique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"informatique, internet/développement - programmation -  logiciel| électricité - électronique - robotique/électronique| électricité - électronique - robotique/télécommunications"
"ingénieur / ingénieure textile";http://www.onisep.fr/http/redirection/metier/slug/MET.480;"Les métiers de la mode et du luxe";Parcours;2019;9782273014564;"GFE L : textile, habillement, cuir";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"matières premières, fabrication, industries/textile - habillement"
"ingénieur aromaticien / ingénieure aromaticienne";http://www.onisep.fr/http/redirection/metier/slug/MET.79;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE K : production alimentaire";H1505;"Intervention technique en formulation et analyse sensorielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1505;"matières premières, fabrication, industries/agroalimentaire| sciences/chimie"
"ingénieur aromaticien / ingénieure aromaticienne";http://www.onisep.fr/http/redirection/metier/slug/MET.79;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE K : production alimentaire";H1505;"Intervention technique en formulation et analyse sensorielle";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1505;"matières premières, fabrication, industries/agroalimentaire| sciences/chimie"
"ingénieur écoconcepteur / ingénieure écoconceptrice";http://www.onisep.fr/http/redirection/metier/slug/MET.633;"Les métiers de la chimie";Parcours;2021;9782273015233;"GFE T : environnement, nettoyage, sécurité";;;;"environnement - énergies - propreté/environnement (généralités)| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/matériaux"
"ingénieur en chef territorial / ingénieure en chef territoriale";http://www.onisep.fr/http/redirection/metier/slug/MET.518;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1404;"Mise en oeuvre et pilotage de la politique des pouvoirs publics";https://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1404;"environnement - énergies - propreté/aménagement du territoire| environnement - énergies - propreté/environnement (généralités)| environnement - énergies - propreté/urbanisme"
